Services Type,Packages,,
Accounting Services,Basic,Deluxe,Premium
Monthly Bookkeeping (Financial Records),c,c,c
Financial Statements (Upon Request),c,c,c
Up-To-Date Records Management,c,c,c
Bank Reconciliation,c,c,c
GST/HST Returns,c,c,c
Yearly Tax Returns,c,c,c
"Quarterly, Semi-Annual or Annual Financial Statements",x,c,c
Project/Product Accounting,x,c,c
Payroll (Up to 7 Employees),x,c,c
Data Entry,x,c,c
"Government Remittance Forms (GST/HST, WSIB)",x,c,c
Monthly Financial Statement Preparation,x,x,c
Monthly Financial Reports,x,x,c
Project/Product Accounting,x,x,c
Payroll (Unlimited),x,x,c
Cash Flow Satements,x,x,c
Government Remittance Forms (All),x,x,c
PRICE,$150/Month,$200/Month,$250/Month
